Title;Plan;Etablissement;Secteur;PlacesMax_FPRA;PlacesMax_AFP_CFC;PlacesMax_Stage_Mes;PlacesMax_CEA;PlacesMax_AppNonDFIP;PlacesMax_MSTS;Commentaire
Restauration | Minoteries — Restaurant;Restauration;Minoteries;Restaurant;2;1;3;1;0;0;
Restauration | Pinchat — Restaurant;Restauration;Pinchat;Restaurant;1;2;2;1;0;0;
Restauration | Pinchat — Patisserie-boulangerie;Restauration;Pinchat;Patisserie-boulangerie;1;1;1;3;0;0;
Cuisine | Chambesy — Cuisine;Cuisine;Chambesy;Cuisine;1;1;2;0;0;0;
Cuisine | Lancy — Cuisine;Cuisine;Lancy;Cuisine;1;1;2;1;0;0;
Cuisine | Minoteries — Cuisine;Cuisine;Minoteries;Cuisine;1;1;2;1;0;0;
Cuisine | Pinchat — Cuisine;Cuisine;Pinchat;Cuisine;1;1;2;0;0;0;
Lingerie | Lancy — Lingerie;Lingerie;Lancy;Lingerie;2;0;2;0;0;0;
Lingerie | Pinchat — Couture;Lingerie;Pinchat;Couture;1;0;1;1;0;0;
Technique | Chambesy — Exploitation;Technique;Chambesy;Exploitation;1;0;2;0;0;0;
Technique | Chambesy — Nettoyage;Technique;Chambesy;Nettoyage;1;0;1;1;0;0;
Technique | Lancy — Nettoyage;Technique;Lancy;Nettoyage;2;0;1;0;0;0;
Technique | Minoteries — Audio-visuel;Technique;Minoteries;Audio-visuel;0;1;1;1;0;0;
Technique | Pinchat — Peinture;Technique;Pinchat;Peinture;1;0;1;0;0;0;
Technique | Pinchat — Graphisme;Technique;Pinchat;Graphisme;0;1;1;0;0;0;
Technique | Pinchat — Mediamatique;Technique;Pinchat;Mediamatique;0;1;1;0;0;0;
Technique | Pinchat — Ateliers;Technique;Pinchat;Ateliers;1;0;1;1;0;0;
Technique | Tourbillon — Informatique;Technique;Tourbillon;Informatique;0;2;1;0;0;0;
Technique | Tourbillon — Employe de commerce;Technique;Tourbillon;Employe de commerce;0;1;1;0;0;0;
Educatif-Enfance | Chambesy — Groupe A;Educatif-Enfance;Chambesy;Groupe A;1;1;1;0;1;1;
Educatif-Enfance | Chambesy — Groupe B;Educatif-Enfance;Chambesy;Groupe B;1;0;1;0;1;1;
Educatif-Enfance | Lancy — Classe A;Educatif-Enfance;Lancy;Classe A;1;1;1;0;1;0;
Educatif-Enfance | Lancy — Classe B;Educatif-Enfance;Lancy;Classe B;1;1;1;0;0;1;
Educatif-Enfance | Lancy — Classe C;Educatif-Enfance;Lancy;Classe C;1;0;1;0;0;0;
Educatif-Enfance | Lancy — Classe D;Educatif-Enfance;Lancy;Classe D;1;0;1;0;0;0;
Educatif-Enfance | Lancy — Classe E;Educatif-Enfance;Lancy;Classe E;0;0;2;0;0;0;
Educatif-Enfance | Lancy — Classe F;Educatif-Enfance;Lancy;Classe F;1;1;1;0;0;0;
Educatif-Adulte | Gradelle — Appartement 1;Educatif-Adulte;Gradelle;Appartement 1;1;0;1;0;1;1;
Educatif-Adulte | Gradelle — Appartement 2;Educatif-Adulte;Gradelle;Appartement 2;0;1;1;0;1;0;
Educatif-Adulte | Gradelle — Centre de jour;Educatif-Adulte;Gradelle;Centre de jour;1;1;1;1;1;0;
Educatif-Adulte | Minoteries — Appartement 2eme;Educatif-Adulte;Minoteries;Appartement 2eme;1;0;1;0;0;1;
Educatif-Adulte | Minoteries — Appartement 3eme;Educatif-Adulte;Minoteries;Appartement 3eme;0;1;1;0;1;0;
Educatif-Adulte | Minoteries — Centre de jour;Educatif-Adulte;Minoteries;Centre de jour;1;0;1;1;0;0;
Educatif-Adulte | Pinchat — Appartement 5A;Educatif-Adulte;Pinchat;Appartement 5A;1;0;1;0;1;0;
Educatif-Adulte | Pinchat — Appartement 5B;Educatif-Adulte;Pinchat;Appartement 5B;0;1;1;0;0;1;
Educatif-Adulte | Pinchat — Centre de jour 1;Educatif-Adulte;Pinchat;Centre de jour 1;1;1;1;1;0;0;
Educatif-Adulte | Pinchat — La Passerelle;Educatif-Adulte;Pinchat;La Passerelle;1;0;1;0;1;0;